Id	Cat	Req
ИБ-1	Общие требования	Наличие информации от производителя о поддержке и обновлениях апробируемого решения
ИБ-2	Общие требования	Наличие информации от производителя по описанию методов доведения до пользователей информации об уязвимостях апробируемого решения и рекомендаций по их устранению, в том числе путем обновления программного обеспечения (далее – ПО), а также обновления используемых компонентов (например, встроенные библиотеки OpenSSL)
ИБ-3	Общие требования	Наличие апробируемого решения в реестре отечественного ПО (https://reestr.digital.gov.ru/reestr/) для ИТ-решений, не относящихся к СрЗИ
ИБ-4	Общие требования	Наличие апробируемого решения в реестре отечественного ПО (https://reestr.digital.gov.ru/reestr/) для ИТ-решений, относящихся к СрЗИ
ИБ-5	Общие требования	Наличие сертификата ФСТЭК на апробируемое решение, не относящееся к СрЗИ
ИБ-6	Общие требования	Наличие сертификата ФСТЭК на апробируемое решение, относящееся к СрЗИ
ИБ-7	Общие требования	Наличие в документации вендора (сообщества) описания: требований по безопасности, предъявляемых к апробируемому решению; перечня элементов конфигурации, которые связаны с реализацией функций безопасности апробируемого решения (hardening, best practices, и т.п.)
ИБ-8	Идентификация и аутентификация	Для идентификации каждому пользователю должен быть назначен уникальный персональный идентификатор
ИБ-9	Идентификация и аутентификация	Для интеграции апробируемого решения с внешними сервисами должен использоваться уникальный идентификатор
ИБ-10	Идентификация и аутентификация	Для взаимодействия между компонентами апробируемого решения должен использоваться уникальный идентификатор
ИБ-11	Идентификация и аутентификация	Доступ пользователей под локальной учетной записью должен осуществляться посредством аутентификации по паролю
ИБ-12	Идентификация и аутентификация	Доступ по API на изменение должен осуществляться посредством аутентификации по паролю или токену access token
ИБ-13	Идентификация и аутентификация	Доступ по API на чтение должен осуществляться посредством аутентификации по паролю или токену access token
ИБ-14	Идентификация и аутентификация	Доступ пользователей должен осуществляться посредством аутентификации по сертификату пользователя
ИБ-15	Идентификация и аутентификация	Должна обеспечиваться защита обратной связи при вводе аутентификационной информации
ИБ-16	Идентификация и аутентификация	Локальная парольная политика должна обеспечивать возможность настройки требований сложности пароля
ИБ-17	Идентификация и аутентификация	Локальная парольная политика должна обеспечивать возможность самостоятельной смены пароля пользователем
ИБ-18	Идентификация и аутентификация	Локальная парольная политика должна обеспечивать возможность ограничения количества неуспешных попыток входа
ИБ-19	Идентификация и аутентификация	Локальная парольная политика должна обеспечивать возможность хранения истории паролей и невозможность установки нового пароля, совпадающего с предыдущими на заданную глубину истории
ИБ-20	Идентификация и аутентификация	Локальная парольная политика должна обеспечивать возможность настройки срок действия пароля
ИБ-21	Идентификация и аутентификация	Локальная парольная политика должна обеспечивать возможность обязательной смены пароля при первом входе
ИБ-22	Идентификация и аутентификация	Все пароли «по умолчанию» для встроенных учетных записей должны иметь возможность замены
ИБ-23	Идентификация и аутентификация	Все встроенные учетные записи должны иметь возможность блокировки
ИБ-24	Идентификация и аутентификация	Управление учетными записями в апробируемом ИТ-решении должно осуществляться путем применения защищенной службы LDAP(s)-совместимого каталога (для ИТ-решений вне КСПД необходима проверка совместимости с внешним IdP-провайдером посредством протоколов OIDC, SAML 2.0 и т.п.)
ИБ-25	Идентификация и аутентификация	Должна обеспечиваться поддержка технологии единого входа (SSO, поддержка сквозной доменной аутентификации)
ИБ-26	Идентификация и аутентификация	Возможность интеграции с существующей системой управления идентификационными данными (IDM)
ИБ-27	Идентификация и аутентификация	Поддержка механизмов многофакторной аутентификации (MFA) для ИТ-решений, размещаемых в ЦДМЗ
ИБ-28	Идентификация и аутентификация	Поддержка механизмов многофакторной аутентификации (MFA) для ИТ-решений, размещаемых в КСПД
ИБ-29	Управление доступом	Механизмы управления доступом должны быть реализованы на уровне UI
ИБ-30	Управление доступом	Механизмы управления доступом должны быть реализованы на уровне API
ИБ-31	Управление доступом	Механизмы управления доступом должны быть реализованы на уровне CLI
ИБ-32	Управление доступом	Доступ на управление через CLI должен осуществляться с указанием УЗ или от привилегированной УЗ
ИБ-33	Управление доступом	Должна использоваться система ролевого управления доступом для управления правами доступа
ИБ-34	Управление доступом	Наличие возможности определения уровня грануляции ролевой модели, позволяющей предоставлять права доступа в минимально необходимом объеме
ИБ-35	Управление доступом	Наличие возможности управления ролями на основе групп LDAP-совместимого каталога (для ИТ-решений вне КСПД необходима проверка совместимости с внешним IdP-провайдером посредством протоколов OIDC, SAML 2.0 и т.п.)
ИБ-36	Управление доступом	Поддержка возможности наследования прав доступа
ИБ-37	Управление доступом	Должен быть ограничен доступ к интерфейсу администрирования
ИБ-38	Управление доступом	Должен быть ограничен доступ к конфигурационным и временным файлам
ИБ-39	Управление доступом	Должен быть ограничен доступ к интерфейсу просмотра журнала событий в рамках выделенной роли
ИБ-40	Управление доступом	Анонимное подключение к UI должно быть запрещено
ИБ-41	Управление доступом	Анонимное подключение к API должно быть запрещено
ИБ-42	Управление доступом	Наличие возможности работы процесса(-ов) апробируемого решения и его зависимых компонент от непривилегированной учетной записи
ИБ-43	Управление доступом	Должна обеспечиваться настройка длительности периода неактивности для автоматической блокировки сессии, восстановление сессии должно осуществляться только после повторной аутентификации
ИБ-44	Управление доступом	Должна обеспечиваться возможность установки срока действия токена при осуществлении доступа через API (либо перегенерация токена после повторной аутентификации)
ИБ-45	Регистрация и учет событий ИБ	Наличие механизмов регистрации и учета событий ИБ
ИБ-46	Регистрация и учет событий ИБ	Проверка наличия в документации вендора (сообщества) описания применяемых технических мер, обеспечивающих регистрацию событий ИБ и всех событий, связанных с фактами изменения элементов конфигурации, в журнале регистрации событий
ИБ-47	Регистрация и учет событий ИБ	Должен быть предусмотрен централизованный интерфейс для работы с журналами событий безопасности
