Id	Cat	Req
СК-1	Совместимость веб-клиента	Возможность открытия веб-интерфейса в веб-браузере Яндекс Браузер на ОС Astra Linux Воронеж
СК-2	Совместимость веб-клиента	Корректное отображение веб-интерфейса
СК-3	Совместимость веб-клиента	Корректная работа веб-интерфейса
СК-4	Совместимость нативных клиентов	Возможность установки в ОС AstraLinux Воронеж
СК-5	Совместимость нативных клиентов	Возможность запуска в ОС AstraLinux Воронеж
СК-6	Совместимость нативных клиентов	Корректное отображение графического интерфейса (при наличии)
СК-7	Совместимость нативных клиентов	Корректная работа элементов управления
СК-8	Совместимость нативных клиентов	Корректная работа интерактивных элементов (при наличии);
СК-9	Совместимость нативных клиентов	Корректная работа целевых интеграций (при наличии функционала)
СК-10	Совместимость нативных клиентов	Корректная работа с буфером обмена данными (при наличии функционала)
СК-11	Совместимость нативных клиентов	Корректный обмен данными (при наличии функционала) с Р7-Офис.Профессиональный (десктопная версия)
СК-12	Совместимость нативных клиентов	Корректная работа с файловой системой ОС
СК-13	Совместимость нативных клиентов	Корректное штатное завершение (выход) работы ПО-клиента
СК-14	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Возможность установки в ОС AstraLinux Воронеж с использованием Wine
СК-15	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Возможность запуска в ОС AstraLinux Воронеж с использованием Wine
СК-16	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректное отображение графического интерфейса (при наличии) с использованием Wine
СК-17	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректная работа элементов управления с использованием Wine
СК-18	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректная работа интерактивных элементов (при наличии) с использованием Wine
СК-19	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректная работа целевых интеграций (при наличии функционала) с использованием Wine
СК-20	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректная работа с буфером обмена данными (при наличии функционала) с использованием Wine
СК-21	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректный обмен данными (при наличии функционала) с Р7-Офис.Профессиональный (десктопная версия) с использованием Wine
СК-22	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректная работа с файловой системой ОС с использованием Wine
СК-23	Совместимость нативных клиентов Windows в среде AstraLinux с использованием Wine	Корректное штатное завершение (выход) работы ПО-клиента с использованием Wine
СК-24	Совместимость клиентов всех типов, требующих вызова прикладного или общесистемного ПО	Корректное осуществление вызова из клиентского ПО, выполняющегося в ОС AstraLinux Воронеж (при наличии указанного функционала), прикладного или общесистемного ПО, установленного в данной ОС
СК-25	Совместимость клиентов всех типов, требующих вызова прикладного или общесистемного ПО	Запуск вызванного прикладного или общесистемного ПО
